datetime,instrument,score,label,rank
2023-02-06,P88446,0.006877983003645413,-0.07991099,31
2023-02-13,P87299,0.004777258687404773,-0.10405511,23
2023-03-09,P72726,0.010071237680962878,-0.07387,30
2023-03-31,P84262,0.0037855561505952527,-0.08730227,44
2023-04-10,P21020,0.0037855561505952527,-0.09217882,43
2023-04-28,P14714,0.0037855561505952527,-0.1572178,42
2023-05-02,P79545,0.0038489751651350616,-0.07877743,48
2023-05-30,P93096,0.0038423665530181506,-0.19508678,42
2023-07-31,P79545,0.0037855561505952527,-0.07510221,47
2023-08-01,P11891,0.0038423665530181506,-0.0710516,46
2023-08-08,P88661,0.0038489751651350616,-0.15931135,43
2023-08-14,P88664,0.0037855561505952527,-0.070346475,33
2023-08-18,P43553,0.0038489751651350616,-0.0687623,25
2023-08-30,P19502,0.0037855561505952527,-0.07427895,49
2023-09-05,P19166,0.004238538539458224,-0.07409662,36
2023-09-07,P42585,0.0038489751651350616,-0.07006639,31
2023-10-16,P80191,0.0038489751651350616,-0.097887635,30
2023-10-16,P91103,0.0038423665530181506,-0.09670985,38
2023-10-17,P36003,0.0037855561505952527,-0.08351892,47
2023-10-18,P25081,0.0038489751651350616,-0.085321784,45
2023-10-20,P11533,0.004621627368697333,-0.07017982,25
2023-10-26,P88182,0.004165072898550196,-0.21767241,23
2023-10-30,P16851,0.004165072898550196,-0.08177823,33
2023-11-07,P39642,0.0038489751651350616,-0.09252888,40
2023-12-04,P29946,0.0038489751651350616,-0.103768885,25
2023-12-08,P10104,0.0037855561505952527,-0.124381125,40
2023-12-19,P61621,0.0037855561505952527,-0.070076644,43
